"","Fund_Name","WiP","weightedOAS","portfolioVal","chartName"
"523","Lazard US Corporate Income Instl",8.82,1034.50113378685,240230751,"Lazard
US
Corporate
Income
Instl"
"524","Leader Short-Term Bond Inv",0.96,3002.70833333333,809261805,"Leader
Short-Term
Bond
Inv"
"525","Leader Total Return Instl",8.52,3505.27582159624,165287971,"Leader
Total
Return
Instl"
"526","Legg Mason BW Global High Yield IS",1.48,3011.93918918919,29276219,"Legg
Mason
BW
Global
High
Yield
IS"
"527","Litman Gregory Masters Alt Strats Instl",3.49,1818.83667621776,1208051879,"Litman
Gregory
Masters
Alt
Strats
Instl"
"528","LK Balanced Institutional",0.83,1101,24496759,"LK
Balanced
Institutional"
"529","LKCM Fixed-Income",2.96,694.766891891892,197130491,"LKCM
Fixed-Income"
"530","Logan Circle Partners Core Plus I",0.46,808.695652173913,11421092,"Logan
Circle
Partners
Core
Plus
I"
"531","Longleaf Partners",0.1,4781,3624583276,"Longleaf
Partners"
"532","Longleaf Partners Small-Cap",1.24,5664,3809643226,"Longleaf
Partners
Small-Cap"
"533","Loomis Sayles Bond Instl",1.71,2592.92397660819,15530297217,"Loomis
Sayles
Bond
Instl"
"534","Loomis Sayles Core Plus Bond A",1.76,1106.98863636364,6286000657,"Loomis
Sayles
Core
Plus
Bond
A"
"535","Loomis Sayles Dividend Income A",0.87,2776.06896551724,25905083,"Loomis
Sayles
Dividend
Income
A"
"536","Loomis Sayles Emerging Markets Opps A",0.85,1143,22092280,"Loomis
Sayles
Emerging
Markets
Opps
A"
"537","Loomis Sayles Fixed Income",1.62,2456.22839506173,1145882478,"Loomis
Sayles
Fixed
Income"
"538","Loomis Sayles Global Bond Instl",0.96,1919.42708333333,1673349508,"Loomis
Sayles
Global
Bond
Instl"
"539","Loomis Sayles Global Equity and Income Y",0.63,3099.65079365079,1367015790,"Loomis
Sayles
Global
Equity
and
Income
Y"
"540","Loomis Sayles High Income A",10.67,1658.01030927835,146480053,"Loomis
Sayles
High
Income
A"
"541","Loomis Sayles High Income Opps Instl",9.8,1630.81020408163,120331577,"Loomis
Sayles
High
Income
Opps
Instl"
"542","Loomis Sayles Instl High Income",4.39,3587.74259681093,575022563,"Loomis
Sayles
Instl
High
Income"
"543","Loomis Sayles Interm Duration Bond Instl",0.56,1133.64285714286,112341122,"Loomis
Sayles
Interm
Duration
Bond
Instl"
"544","Loomis Sayles Investment Grade Bond A",0.47,575.31914893617,7539632340,"Loomis
Sayles
Investment
Grade
Bond
A"
"545","Loomis Sayles Investment Grade Bond Fd J",0.47,575.31914893617,7539632340,"Loomis
Sayles
Investment
Grade
Bond
Fd
J"
"546","Loomis Sayles Investment Grade F/I",0.5,539.28,462965227,"Loomis
Sayles
Investment
Grade
F/I"
"547","Loomis Sayles Multi-Asset Income A",2.72,1695.11029411765,108482389,"Loomis
Sayles
Multi-Asset
Income
A"
"548","Loomis Sayles Sr Floating Rate and F/I A",0.93,2967.0752688172,1668054571,"Loomis
Sayles
Sr
Floating
Rate
and
F/I
A"
"549","Loomis Sayles Strategic Alpha A",8.17,1324.02447980416,624766139,"Loomis
Sayles
Strategic
Alpha
A"
"550","Loomis Sayles Strategic Income A",1.95,2860.97948717949,11801350727,"Loomis
Sayles
Strategic
Income
A"
"551","Lord Abbett Bond-Debenture A",7.41,1081.30904183536,8566043624,"Lord
Abbett
Bond-Debenture
A"
"552","Lord Abbett Convertible A",0.48,1802.8125,644273667,"Lord
Abbett
Convertible
A"
"553","Lord Abbett Core Fixed Income I",0.46,520.347826086957,1419614106,"Lord
Abbett
Core
Fixed
Income
I"
"554","Lord Abbett Core Plus Bond A",2.43,923.769547325103,10197815,"Lord
Abbett
Core
Plus
Bond
A"
"555","Lord Abbett Emerging Markets Corp Dbt A",1.35,1042.7037037037,47718488,"Lord
Abbett
Emerging
Markets
Corp
Dbt
A"
"556","Lord Abbett Emerging Markets Currency A",0.72,1082.01388888889,477469816,"Lord
Abbett
Emerging
Markets
Currency
A"
"557","Lord Abbett Floating Rate A",0.93,1697.84946236559,6069524717,"Lord
Abbett
Floating
Rate
A"
"558","Lord Abbett High Yield A",9.35,1201.77005347594,3761517314,"Lord
Abbett
High
Yield
A"
"559","Lord Abbett Income A",4.02,1189.14925373134,1855954552,"Lord
Abbett
Income
A"
"560","Lord Abbett Inflation Focused A",1.82,1384.89010989011,791874475,"Lord
Abbett
Inflation
Focused
A"
"561","Lord Abbett Short Duration Income A",1.77,1322.89830508475,33635619023,"Lord
Abbett
Short
Duration
Income
A"
"562","Lord Abbett Total Return I",1.39,1038.68345323741,2421921319,"Lord
Abbett
Total
Return
I"
"563","Madison Core Bond A",0.11,612,217432458,"Madison
Core
Bond
A"
"564","Madison Corporate Bond Y",0.52,1339.90384615385,22148993,"Madison
Corporate
Bond
Y"
"565","Madison Diversified Income A",0.09,612,142331222,"Madison
Diversified
Income
A"
"566","Madison High Income A",8.94,915.936241610738,22642091,"Madison
High
Income
A"
"567","MainStay Absolute Return Multi-Strat A",0.01,11443,95587889,"MainStay
Absolute
Return
Multi-Strat
A"
"568","MainStay Balanced I",0.09,664,768135977,"MainStay
Balanced
I"
"569","MainStay Global High Income A",0.49,3153,169001466,"MainStay
Global
High
Income
A"
"570","MainStay High Yield Corporate Bond B",10.04,3000.91135458167,8907158243,"MainStay
High
Yield
Corporate
Bond
B"
"571","MainStay High Yield Opportunities A",9.77,1987.05220061413,452908633,"MainStay
High
Yield
Opportunities
A"
"572","MainStay Income Builder B",2.13,1888.38497652582,1797594561,"MainStay
Income
Builder
B"
"573","MainStay Indexed Bond I",0.22,774.090909090909,263887896,"MainStay
Indexed
Bond
I"
"574","MainStay Short Duration High Yield A",7.46,3031.01742627346,465808175,"MainStay
Short
Duration
High
Yield
A"
"575","MainStay Total Return Bond I",3.18,1180.4213836478,978719714,"MainStay
Total
Return
Bond
I"
"576","MainStay Unconstrained Bond A",10.75,1594.77395348837,1553723019,"MainStay
Unconstrained
Bond
A"
"577","Mairs & Power Balanced Inv",0.88,912.113636363636,635251012,"Mairs
&
Power
Balanced
Inv"
"578","Manning & Napier Global Fixed Income I",0.86,907.720930232558,213828792,"Manning
&
Napier
Global
Fixed
Income
I"
"579","Manning & Napier High Yield Bond S",6.29,964.828298887122,161617565,"Manning
&
Napier
High
Yield
Bond
S"
"580","Manning & Napier Pro-Blend Cnsrv Term S",0.45,874.977777777778,1290875274,"Manning
&
Napier
Pro-Blend
Cnsrv
Term
S"
"581","Manning & Napier Pro-Blend Extnd Term S",0.46,904.086956521739,1302151526,"Manning
&
Napier
Pro-Blend
Extnd
Term
S"
"582","Manning & Napier Pro-Blend Max Term S",0.16,778.375,826419430,"Manning
&
Napier
Pro-Blend
Max
Term
S"
"583","Manning & Napier Pro-Blend Mod Term S",0.46,904.086956521739,1373218368,"Manning
&
Napier
Pro-Blend
Mod
Term
S"
"584","Manning & Napier Unconstrained Bond S",0.8,1036.075,868344756,"Manning
&
Napier
Unconstrained
Bond
S"
"585","Marsico Flexible Capital",0,NA,493653602,"Marsico
Flexible
Capital"
"586","MassMutual Premier Balanced R5",0.38,1380.44736842105,130301268,"MassMutual
Premier
Balanced
R5"
"587","MassMutual Premier Core Bond R5",0.98,1159,1927275712,"MassMutual
Premier
Core
Bond
R5"
"588","MassMutual Premier Diversified Bond A",1.65,1438.12121212121,245741137,"MassMutual
Premier
Diversified
Bond
A"
"589","MassMutual Premier High Yield Svc",8.03,1918.53424657534,257137831,"MassMutual
Premier
High
Yield
Svc"
"590","MassMutual Premier Short-Duration Bd R5",0.17,1780.52941176471,813045762,"MassMutual
Premier
Short-Duration
Bd
R5"
"591","MassMutual Select BlackRock Glbl Allc A",0.06,1198.66666666667,630557941,"MassMutual
Select
BlackRock
Glbl
Allc
A"
"592","MassMutual Select Strategic Bond A",0.52,1309.5,268441919,"MassMutual
Select
Strategic
Bond
A"
"593","MassMutual Select Total Return Bond I",0.18,859.833333333333,1512170864,"MassMutual
Select
Total
Return
Bond
I"
"594","Meridian Equity Income Legacy",0.88,3295.36363636364,45022778,"Meridian
Equity
Income
Legacy"
"595","Met Invt Ser JPMorgan Core Bond A",0.15,1040.06666666667,2478834564,"Met
Invt
Ser
JPMorgan
Core
Bond
A"
"596","Metropolitan West High Yield Bond M",6.37,1381.43956043956,980009948,"Metropolitan
West
High
Yield
Bond
M"
"597","Metropolitan West Intermediate Bond I",0.18,673.333333333333,1242595061,"Metropolitan
West
Intermediate
Bond
I"
"598","Metropolitan West Low Duration Bond M",0.04,615,3376284150,"Metropolitan
West
Low
Duration
Bond
M"
"599","Metropolitan West Total Return Bond M",0.24,821.375,69595866093,"Metropolitan
West
Total
Return
Bond
M"
"600","Metropolitan West Unconstrained Bd I",0.48,820.645833333333,2348332703,"Metropolitan
West
Unconstrained
Bd
I"
"601","MFS Corporate Bond A",1.18,557.06779661017,2774472016,"MFS
Corporate
Bond
A"
"602","MFS Global Alternative Strategy A",0.03,669,772706229,"MFS
Global
Alternative
Strategy
A"
"603","MFS Global Bond A",0.7,613,634107200,"MFS
Global
Bond
A"
"604","MFS Global High Yield A",0.1,1162,410857019,"MFS
Global
High
Yield
A"
"605","MFS Global Multi-Asset A",0.14,579.142857142857,21613274,"MFS
Global
Multi-Asset
A"
"606","MFS Global Total Return A",0,NA,1465967129,"MFS
Global
Total
Return
A"
"607","MFS High Income A",8.4,1729.16666666667,1310006020,"MFS
High
Income
A"
"608","MFS High Yield Pooled",8.45,1695.40710059172,1350666258,"MFS
High
Yield
Pooled"
"609","MFS Strategic Income A",0.36,701.166666666667,286234211,"MFS
Strategic
Income
A"
"610","MFS Total Return Bond A",0.47,1057.6170212766,4475707876,"MFS
Total
Return
Bond
A"
"611","Miller Intermediate Bond A",0.36,2980,42630676,"Miller
Intermediate
Bond
A"
"612","Morgan Stanley Global Fixed Inc Opps B",1.99,1520.99497487437,264544174,"Morgan
Stanley
Global
Fixed
Inc
Opps
B"
"613","Morgan Stanley Inst Core PlsFxdInc Instl",0.37,1082.81081081081,222558094,"Morgan
Stanley
Inst
Core
PlsFxdInc
Instl"
"614","Morgan Stanley Inst Corporate Bond I",1.51,1105.58278145695,31157979,"Morgan
Stanley
Inst
Corporate
Bond
I"
"615","Morgan Stanley Inst High Yield A",10.66,1866.21669793621,71115036,"Morgan
Stanley
Inst
High
Yield
A"
"616","Morgan Stanley Inst Short Dur Inc I",0,NA,100989777,"Morgan
Stanley
Inst
Short
Dur
Inc
I"
"617","Morgan Stanley Inst Strategic Income A",2.23,1283.45739910314,4948756,"Morgan
Stanley
Inst
Strategic
Income
A"
"618","Multimanager Core Bond IA",0.34,642.088235294118,622379935,"Multimanager
Core
Bond
IA"
"619","Mutual of America Instl Bond",1.14,1062.9298245614,16885907,"Mutual
of
America
Instl
Bond"
"620","Muzinich Credit Opps Supra Instl",2.54,609.645669291339,152592253,"Muzinich
Credit
Opps
Supra
Instl"
"621","Nationwide Amundi Glbl Hi Yld A",2.85,774.621052631579,155381448,"Nationwide
Amundi
Glbl
Hi
Yld
A"
"622","Nationwide Amundi Strategc Inc A",1.77,805.271186440678,24054406,"Nationwide
Amundi
Strategc
Inc
A"
"623","Nationwide Bond Index A",0.07,838.571428571428,837658361,"Nationwide
Bond
Index
A"
"624","Nationwide Bond Institutional Service",0.97,1050.42268041237,396904959,"Nationwide
Bond
Institutional
Service"
"625","Nationwide Core Plus Bond Instl",2.84,748.528169014085,935281183,"Nationwide
Core
Plus
Bond
Instl"
"626","Nationwide High Yield Bond Institutional",4.19,1583.47732696897,26386338,"Nationwide
High
Yield
Bond
Institutional"
"627","Nationwide HighMark Bond InSvc",0.41,485,521744843,"Nationwide
HighMark
Bond
InSvc"
"628","Nationwide HighMark Short Term Bd A",0.39,485,356826801,"Nationwide
HighMark
Short
Term
Bd
A"
"629","Neuberger Berman Abs Ret Multi-Mgr A",0.31,3109.51612903226,1296888834,"Neuberger
Berman
Abs
Ret
Multi-Mgr
A"
"630","Neuberger Berman AMT Abs Ret MultiMgr S",0.25,2931.16,13136251,"Neuberger
Berman
AMT
Abs
Ret
MultiMgr
S"
"631","Neuberger Berman Floating Rate Inc A",0.07,2622,296962811,"Neuberger
Berman
Floating
Rate
Inc
A"
"632","Neuberger Berman High Income Bond Inv",6.02,2033.55813953488,2952816086,"Neuberger
Berman
High
Income
Bond
Inv"
"633","Neuberger Berman Long Short A",1.41,1145.52482269504,2558983896,"Neuberger
Berman
Long
Short
A"
"634","Neuberger Berman Long Short Credit A",5.33,2995.94559099437,35483606,"Neuberger
Berman
Long
Short
Credit
A"
"635","Neuberger Berman Short Dur Hi Inc A",4.33,2017.90531177829,205937287,"Neuberger
Berman
Short
Dur
Hi
Inc
A"
"636","Neuberger Berman Strategic Income I",0.8,943.7875,2397422808,"Neuberger
Berman
Strategic
Income
I"
"637","New Covenant Income",0,NA,224737225,"New
Covenant
Income"
"638","Nicholas High Income I",2.76,1788.20652173913,93529967,"Nicholas
High
Income
I"
"639","Nomura High Yield I",5.98,2748.29264214047,31986415,"Nomura
High
Yield
I"
"640","Northeast Investors Trust",1.67,11316.748502994,281800184,"Northeast
Investors
Trust"
"641","Northern Bond Index",0.07,799.857142857143,2481867582,"Northern
Bond
Index"
"642","Northern Core Bond",0,NA,231943852,"Northern
Core
Bond"
"643","Northern Fixed Income",0.9,2235.2,1375002221,"Northern
Fixed
Income"
"644","Northern High Yield Fixed Income",11.66,1266.35334476844,4814890872,"Northern
High
Yield
Fixed
Income"
"645","Northern Multi-Manager Hi Yld Opp",6.63,1907.98491704374,436285450,"Northern
Multi-Manager
Hi
Yld
Opp"
"646","Northern Short Bond",0.44,4008.77272727273,551943581,"Northern
Short
Bond"
"647","Nuveen Core Bond I",0.22,566,192581571,"Nuveen
Core
Bond
I"
"648","Nuveen Core Plus Bond A",2.61,1221.39463601533,417093201,"Nuveen
Core
Plus
Bond
A"
"649","Nuveen Global Total Return Bond A",1.38,1339.20289855072,13712971,"Nuveen
Global
Total
Return
Bond
A"
"650","Nuveen High Income Bond A",7.65,2469.81307189542,321913167,"Nuveen
High
Income
Bond
A"
"651","Nuveen Inflation Protected Securities A",0.11,1377.09090909091,416427108,"Nuveen
Inflation
Protected
Securities
A"
"652","Nuveen Real Asset Income A",4.61,1116.08893709328,843267674,"Nuveen
Real
Asset
Income
A"
"653","Nuveen Short-Term Bond A",0.61,1174.65573770492,641842310,"Nuveen
Short-Term
Bond
A"
"654","Nuveen Strategic Income A",3.88,1379.48969072165,847541637,"Nuveen
Strategic
Income
A"
"655","Nuveen Symphony Credit Opportunities A",2.87,2588.45993031359,615075640,"Nuveen
Symphony
Credit
Opportunities
A"
"656","Nuveen Symphony Dynamic Credit A",6.09,2585.013136289,8633088,"Nuveen
Symphony
Dynamic
Credit
A"
"657","Nuveen Symphony High Yield Bond A",3,2359.86,11118103,"Nuveen
Symphony
High
Yield
Bond
A"
"658","Nuveen US Infrastructure Bond A",5.46,1177.19230769231,8154826,"Nuveen
US
Infrastructure
Bond
A"
"659","Oakmark Equity & Income I",0.12,10733,17588334262,"Oakmark
Equity
&
Income
I"
"660","Oaktree High Yield Bond Advisor",7.67,2343.70273794003,23891975,"Oaktree
High
Yield
Bond
Advisor"
"661","Old Westbury Strategic Opportunities",0.35,2291.88571428571,6763039133,"Old
Westbury
Strategic
Opportunities"
"662","Oppenheimer Active Allc A",0,NA,2326213566,"Oppenheimer
Active
Allc
A"
"663","Oppenheimer Capital Income A",0.02,592,2850632490,"Oppenheimer
Capital
Income
A"
"664","Oppenheimer Conservative Inv A",0.08,1365.125,636652022,"Oppenheimer
Conservative
Inv
A"
"665","Oppenheimer Core Bond A",0.04,592,1883249515,"Oppenheimer
Core
Bond
A"
"666","Oppenheimer Corporate Bond A",0.14,592,174475565,"Oppenheimer
Corporate
Bond
A"
"667","Oppenheimer Equity Income A",0.01,1077,4555220788,"Oppenheimer
Equity
Income
A"
"668","Oppenheimer Global Allocation A",0.18,1773.61111111111,1434743223,"Oppenheimer
Global
Allocation
A"
"669","Oppenheimer Global High Yield A",5.85,1548.85641025641,51032270,"Oppenheimer
Global
High
Yield
A"
"670","Oppenheimer Global Multi Strategies A",2.06,2482.35436893204,101780393,"Oppenheimer
Global
Multi
Strategies
A"
"671","Oppenheimer Global Multi-Alternatives A",0.62,2403.70967741936,33630237,"Oppenheimer
Global
Multi-Alternatives
A"
"672","Oppenheimer Global Strategic Inc A",2.34,1685.23504273504,5372877176,"Oppenheimer
Global
Strategic
Inc
A"
"673","Oppenheimer International Bond A",0.11,1901.72727272727,5783086786,"Oppenheimer
International
Bond
A"
"674","Oppenheimer Limited-Term Bond A",1.46,795.102739726027,1435569461,"Oppenheimer
Limited-Term
Bond
A"
"675","Oppenheimer Moderate Inv A",0.04,679.25,1558003004,"Oppenheimer
Moderate
Inv
A"
"676","Optimum Fixed Income A",0.41,965.317073170732,2063419747,"Optimum
Fixed
Income
A"
"677","Osterweis Strategic Income",3.11,2075.81028938907,5105714061,"Osterweis
Strategic
Income"
"678","Osterweis Strategic Investment",2.01,2433.45273631841,284917324,"Osterweis
Strategic
Investment"
"679","Outfitter",2.98,3293.48322147651,24364307,"Outfitter"
"680","PACE High Yield P",6.41,3098.25585023401,412000288,"PACE
High
Yield
P"
"681","PACE Intermediate Fixed Income P",0.21,1005.19047619048,390221210,"PACE
Intermediate
Fixed
Income
P"
"682","PACE Strategic Fixed Income P",2.95,1042.24745762712,390215832,"PACE
Strategic
Fixed
Income
P"
"683","Pacific Advisors Balanced A",2.84,1250.5,7234009,"Pacific
Advisors
Balanced
A"
"684","Pacific Advisors Income & Equity A",1.86,1098.78494623656,13753037,"Pacific
Advisors
Income
&
Equity
A"
"685","Pacific Funds Core Income A",0.43,707,607467797,"Pacific
Funds
Core
Income
A"
"686","Pacific Funds High Income I",7.96,1453.54648241206,123861967,"Pacific
Funds
High
Income
I"
"687","Pacific Funds Limited Dur High Inc A",1.75,261.102857142857,35783479,"Pacific
Funds
Limited
Dur
High
Inc
A"
"688","Pacific Funds Short Duration Income I",0,NA,240487896,"Pacific
Funds
Short
Duration
Income
I"
"689","Pacific Funds Strategic Income I",2.97,838.622895622896,195694139,"Pacific
Funds
Strategic
Income
I"
"690","Palmer Square Absolute Return A",2.56,4419.88671875,296961822,"Palmer
Square
Absolute
Return
A"
"691","Palmer Square Long/Short Credit A",5.49,5371.85063752277,20543806,"Palmer
Square
Long/Short
Credit
A"
"692","Pax World High Yield Bond Individual Inv",9.12,2044.55372807018,402484137,"Pax
World
High
Yield
Bond
Individual
Inv"
"693","Payden Core Bond",0.11,874,662560791,"Payden
Core
Bond"
"694","Payden Global Fixed Income",0.2,895.8,83570143,"Payden
Global
Fixed
Income"
"695","Payden Global Low Duration Fund",0.31,582.096774193548,130821896,"Payden
Global
Low
Duration
Fund"
"696","Payden High Income",5.34,1189.00561797753,562218495,"Payden
High
Income"
"697","Payden Low Duration Fund",0.09,1011,877724747,"Payden
Low
Duration
Fund"
"698","Payden Strategic Income Adviser",0.72,1372.31944444444,154680654,"Payden
Strategic
Income
Adviser"
"699","Payden/Kravitz Cash Balance Plan Adviser",0.17,1011,187591224,"Payden/Kravitz
Cash
Balance
Plan
Adviser"
"700","PENN Capital High Yield Institutional",12.48,1095.10096153846,5170095,"PENN
Capital
High
Yield
Institutional"
"701","Perkins Value Plus Income A",0.27,1312.48148148148,47044589,"Perkins
Value
Plus
Income
A"
"702","Permanent Portfolio Versatile Bond",17.1,1278.46023391813,9501959,"Permanent
Portfolio
Versatile
Bond"
"703","PF Absolute Return P",0.76,1648.60526315789,15002192,"PF
Absolute
Return
P"
"704","PF Inflation Managed P",0.04,3580.5,62558300,"PF
Inflation
Managed
P"
"705","PF Managed Bond P",0.58,1284.34482758621,266615902,"PF
Managed
Bond
P"
"706","PF Short Duration Bond P",2.76,899.974637681159,76947724,"PF
Short
Duration
Bond
P"
"707","PIA BBB Bond",1.29,975.085271317829,212761393,"PIA
BBB
Bond"
"708","PIA High Yield Institutional",5.04,1524.67857142857,122492834,"PIA
High
Yield
Institutional"
"709","PIMCO Balanced Income A",0.04,3977,15647189,"PIMCO
Balanced
Income
A"
"710","PIMCO Credit Absolute Return A",1.06,3570.39622641509,686689106,"PIMCO
Credit
Absolute
Return
A"
"711","PIMCO Diversified Inc A",2.9,1598.11724137931,2316399400,"PIMCO
Diversified
Inc
A"
"712","PIMCO Emerging Markets Bond A",0.25,5831.72,1913182660,"PIMCO
Emerging
Markets
Bond
A"
"713","PIMCO Emerging Markets Corp Bd Instl",1.37,2198.31386861314,210045935,"PIMCO
Emerging
Markets
Corp
Bd
Instl"
"714","PIMCO Fixed Income SHares C",0.85,697.188235294118,1625810839,"PIMCO
Fixed
Income
SHares
C"
"715","PIMCO Fixed Income SHares LD",0.75,2011.76,27491439,"PIMCO
Fixed
Income
SHares
LD"
"716","PIMCO Fixed Income SHares M",0.9,1146.8,1640719437,"PIMCO
Fixed
Income
SHares
M"
"717","PIMCO Floating Income A",2.03,2086.59113300493,644191847,"PIMCO
Floating
Income
A"
"718","PIMCO Global Advantage Strategy Bd A",0.04,2354,1513456052,"PIMCO
Global
Advantage
Strategy
Bd
A"
"719","PIMCO High Yield Instl",7.27,1593.88720770289,8675043468,"PIMCO
High
Yield
Instl"
"720","PIMCO High Yield Spectrum A",5.71,2124.07705779334,1743867573,"PIMCO
High
Yield
Spectrum
A"
"721","PIMCO Income A",0.16,7554.4375,49552547307,"PIMCO
Income
A"
"722","PIMCO Investment Grade Corp Bd Instl",1.76,1548.67045454545,6573491430,"PIMCO
Investment
Grade
Corp
Bd
Instl"
"723","PIMCO Long Duration Total Return Instl",0.78,842.820512820513,3921775097,"PIMCO
Long
Duration
Total
Return
Instl"
"724","PIMCO Long-Term Credit Institutional",1.25,1588.864,3200611387,"PIMCO
Long-Term
Credit
Institutional"
"725","PIMCO Low Duration III Instl",0.2,1770.75,197121835,"PIMCO
Low
Duration
III
Instl"
"726","PIMCO Low Duration Instl",0.2,1694.2,11532994668,"PIMCO
Low
Duration
Instl"
"727","PIMCO RAE Fundamental PLUS A",0.37,487,2439939562,"PIMCO
RAE
Fundamental
PLUS
A"
"728","PIMCO RAE Fundamental PLUS Intl Inst",1.1,472.263636363636,705756605,"PIMCO
RAE
Fundamental
PLUS
Intl
Inst"
"729","PIMCO RAE Fundamental PLUS Small Inst",0.69,480,233995049,"PIMCO
RAE
Fundamental
PLUS
Small
Inst"
"730","PIMCO RAE Low Volatility PLUS EMG A",0.09,5007,3333529482,"PIMCO
RAE
Low
Volatility
PLUS
EMG
A"
"731","PIMCO RAE Low Volatility PLUS Intl A",0.57,2502.33333333333,1728923656,"PIMCO
RAE
Low
Volatility
PLUS
Intl
A"
"732","PIMCO RAE Worldwide Long/Short PLUS A",0.45,477.644444444444,3008256923,"PIMCO
RAE
Worldwide
Long/Short
PLUS
A"
"733","PIMCO Real Return A",0.17,5731.47058823529,12255974695,"PIMCO
Real
Return
A"
"734","PIMCO Real Return Asset Instl",0.05,4152,2516903324,"PIMCO
Real
Return
Asset
Instl"
"735","PIMCO Senior Floating Rate A",0.49,2478.26530612245,1635958115,"PIMCO
Senior
Floating
Rate
A"
"736","PIMCO Short-Term Instl",0.08,2160,13635476966,"PIMCO
Short-Term
Instl"
"737","PIMCO StocksPLUS® Absolute Return Instl",0.04,480,1380025520,"PIMCO
StocksPLUS®
Absolute
Return
Instl"
"738","PIMCO StocksPLUS® Intl (USD-Hedged) A",0.52,482.153846153846,2162788768,"PIMCO
StocksPLUS®
Intl
(USD-Hedged)
A"
"739","PIMCO StocksPLUS® Long Duration Instl",1.15,844.64347826087,473925244,"PIMCO
StocksPLUS®
Long
Duration
Instl"
"740","PIMCO Total Return Instl",0.02,6593,95521141808,"PIMCO
Total
Return
Instl"
"741","PIMCO Unconstrained Bond A",0.1,2883.1,7223448563,"PIMCO
Unconstrained
Bond
A"
"742","Pioneer Bond A",0.98,998.887755102041,3439055099,"Pioneer
Bond
A"
"743","Pioneer Classic Balanced A",0.36,949.777777777778,278112713,"Pioneer
Classic
Balanced
A"
"744","Pioneer Dynamic Credit A",2.43,960.164609053498,312985217,"Pioneer
Dynamic
Credit
A"
"745","Pioneer Floating Rate A",0.37,1136.35135135135,611806217,"Pioneer
Floating
Rate
A"
"746","Pioneer Global High Yield A",5.64,3343.08156028369,825311232,"Pioneer
Global
High
Yield
A"
"747","Pioneer Global Multisector Inc A",1.48,1778.18243243243,28097158,"Pioneer
Global
Multisector
Inc
A"
"748","Pioneer High Yield A",7.78,3012.62982005141,1067690384,"Pioneer
High
Yield
A"
"749","Pioneer Long/Short Bond A",0,NA,47855545,"Pioneer
Long/Short
Bond
A"
"750","Pioneer Long/Short Opportunistic Crdt A",0,NA,44226099,"Pioneer
Long/Short
Opportunistic
Crdt
A"
"751","Pioneer Multi Asset Income A",4.84,1769.90082644628,771226900,"Pioneer
Multi
Asset
Income
A"
"752","Pioneer Short Term Income A",0.11,1733,603263149,"Pioneer
Short
Term
Income
A"
"753","Pioneer Strategic Income A",2.76,1487.07246376812,6375167408,"Pioneer
Strategic
Income
A"
"754","Plumb Balanced",1.14,1065,33428381,"Plumb
Balanced"
"755","PMC Core Fixed Income",0.32,944.28125,258407119,"PMC
Core
Fixed
Income"
"756","PNC Balanced Allocation I",0.54,1530.24074074074,58046111,"PNC
Balanced
Allocation
I"
"757","PNC Bond A",0,NA,83930900,"PNC
Bond
A"
"758","PNC High Yield Bond A",9.56,2062.17677824268,11841068,"PNC
High
Yield
Bond
A"
"759","PNC Intermediate Bond I",0,NA,301320336,"PNC
Intermediate
Bond
I"
"760","PNC Total Return Advantage I",1.39,1251.13669064748,185201791,"PNC
Total
Return
Advantage
I"
"761","Praxis Intermediate Income A",0.05,2315,421864288,"Praxis
Intermediate
Income
A"
"762","Principal Bond Market Index Instl",0.08,706.75,1266838129,"Principal
Bond
Market
Index
Instl"
"763","Principal Core Plus Bond R2",0.52,1646.84615384615,4172611331,"Principal
Core
Plus
Bond
R2"
"764","Principal Credit Opps Explor A",0.29,5263.44827586207,17949267,"Principal
Credit
Opps
Explor
A"
"765","Principal Dynamic High Yld Explor A",1.57,2877.4076433121,13288019,"Principal
Dynamic
High
Yld
Explor
A"
"766","Principal Global Div Inc A",1.39,2125.65467625899,10098109927,"Principal
Global
Div
Inc
A"
"767","Principal Global Multi-Strategy A",0.5,908.28,3050479547,"Principal
Global
Multi-Strategy
A"
"768","Principal High Yield A",6.6,2009.94696969697,3047519936,"Principal
High
Yield
A"
"769","Principal High Yield Fund I Inst",7.39,1423.04600811908,804331184,"Principal
High
Yield
Fund
I
Inst"
"770","Principal Income A",2.09,2883.18660287081,3102981217,"Principal
Income
A"
"771","Prudential Absolute Return Bond A",0.3,1378.46666666667,2386596499,"Prudential
Absolute
Return
Bond
A"
"772","Prudential Core Bond Z",0.16,1133.75,99255046,"Prudential
Core
Bond
Z"
"773","Prudential Global Total Return A",0.14,1072,500731812,"Prudential
Global
Total
Return
A"
"774","Prudential High-Yield B",5.76,1174.70486111111,3309522094,"Prudential
High-Yield
B"
"775","Prudential Income Builder A",0.93,1123.03225806452,266188080,"Prudential
Income
Builder
A"
"776","Prudential Short Dur Hi Yld Inc A",1.09,861.018348623853,1373323383,"Prudential
Short
Dur
Hi
Yld
Inc
A"
"777","Prudential Short Dur Multi-Sect Bd A",0.43,550.441860465116,108602016,"Prudential
Short
Dur
Multi-Sect
Bd
A"
"778","Prudential Short-Term Corporate Bd A",0.56,1012.82142857143,9622863651,"Prudential
Short-Term
Corporate
Bd
A"
"779","Prudential Total Return Bond A",0.13,932.384615384615,20001538380,"Prudential
Total
Return
Bond
A"
"780","PSG Tactical Growth",0.47,3673,11664483,"PSG
Tactical
Growth"
